COURSE,YEAR,INTEGRANTES
Curso de Encadernação e Restauração de Documentos,1995,['Luiz Francisco Alves de Araujo']
Imagens Concretas - Curso de Extensão de Fotografia de Arquitetura,2006,"['Maurício Rocha', 'Luiz Francisco Alves de Araujo', 'Ghustavo Thávora']"
