COURSE,YEAR,INTEGRANTES
Sociedade &amp; Tecnologia,2011,['José Carlos Porto Arcoverde Junior']
Residência de Desenvolvimento e Design de Widgets,2010,['José Carlos Porto Arcoverde Junior']
