COURSE,YEAR,INTEGRANTES
Programação Avançada,2006,['Tiago Guedes Ferreira Barros']
Do C ao C++ - Uma abordagem da engenharia de software,2002,['Tiago Guedes Ferreira Barros']
Arquitetura de software para celulares,2004,"['Sergio Cavalcante', 'Tiago Guedes Ferreira Barros']"
Arquitetura de software para celulares,2003,"['Sergio Cavalcante', 'Tiago Guedes Ferreira Barros']"
Programação Avançada,2007,['Tiago Guedes Ferreira Barros']
Arquitetura de software para celulares,2007,"['Sergio Cavalcante', 'Tiago Guedes Ferreira Barros']"
Arquitetura de software para celulares,2006,"['Sergio Cavalcante', 'Tiago Guedes Ferreira Barros']"
Arquitetura de software para celulares,2005,"['Sergio Cavalcante', 'Tiago Guedes Ferreira Barros']"
Programação em C++,2005,['Tiago Guedes Ferreira Barros']
