NATUREZA,TITULO,ANO,PAIS,IDIOMA,NOME-DO-CANDIDATO,CODIGO_INSTITUICAO,NOME-DA-INSTITUICAO,CODIGO-CURSO,NOME-DO-CURSO
Curso de aperfeiçoamento/especialização,CONTRIBUIÇÕES DO DESIGN NA DEFINIÇÃO DE ESTRATÉGIA PARA  PROGRAMA DE PROBLEMAS MAL-POSTOS.,2019,Brasil,Português,José Carlos Porto Arcoverde Júnior,091400000001,Centro de Estudos e Sistemas Avançados do Recife,90000013,Especialização em Design de Interação para Artefatos Digitais (DIPAD)
Curso de aperfeiçoamento/especialização,Processo de utilização do Card Sorting para a criação de uma interface de identificação emocional para filmes em streams.,2019,Brasil,Português,Guttenberg Gayão de Senna Junior,091400000001,Centro de Estudos e Sistemas Avançados do Recife,90000013,Especialização em Design de Interação para Artefatos Digitais (DIPAD)
