COURSE,YEAR,INTEGRANTES
Arquitetura de Microcontrolaores,2006,"['Henrique Braga Foresti', 'Daniel Thiago Vasconcelos Pereira']"
Oficina de experimentação da robótica com a plataforma robótica livre robolivre.org,2010,['Henrique Braga Foresti']
Programa de Inclusão da Robótica em escolas Públicas,2010,['Henrique Braga Foresti']
Oficina de experimentação da robótica com a plataforma robótica livre robolivre.org,2010,['Henrique Braga Foresti']
