COURSE,YEAR,INTEGRANTES
Tecnologias Assistivas,2019,"['Ana Carolina Candido de Melo', 'Ellen Polliana Ramos Souza']"
Curso de Extensão em Inclusão e Mediação Escolar,2018,"['Ana Carolina Candido de Melo', 'Ellen Polliana Ramos Souza', 'Jéssica Emanuela dos Santos']"
