COURSE,YEAR,INTEGRANTES
Animação em After Effects,2010,['Rafael Rattes Lima Rocha de Aguiar']
Oficina Levanta murrinha e anda! Te anima peste!,2011,['Rafael Rattes Lima Rocha de Aguiar']
Workshop Mobiliário Biodigital,2016,"['Rafael Rattes Lima Rocha de Aguiar', 'CARVALHO, Paulo Roberto Dutra', 'FILHO, Edvan Isac Santos']"
Rhino,2017,['Rafael Rattes Lima Rocha de Aguiar']
Workshop Internacional em Tecnologias do Design,2021,['Rafael Rattes Lima Rocha de Aguiar']
