COURSE,YEAR,INTEGRANTES
Futurismo,2018,['Marcello Caldas Bressan']
Futuring: Conhecer os futuros possíveis,2014,['Marcello Caldas Bressan']
Estudos de Tendências - Futurismo,2019,['Marcello Caldas Bressan']
