COURSE,YEAR,INTEGRANTES
Robótica para Leigos,2016,['Eronides Felisberto da Silva Neto']
Introdução à IoT,2017,['Eronides Felisberto da Silva Neto']
Workshop - Introdução a IoT,2018,['Eronides Felisberto da Silva Neto']
Franzininho: Um Arduino para todos,2018,['Eronides Felisberto da Silva Neto']
