COURSE,YEAR,INTEGRANTES
Desenvolvimento de Software com Metodologias Ágeis,2010,['Ana Paula Carvalho Cavalcanti Furtado']
Gerência do Projeto de Testes com base no MPT.BR,2010,['Ana Paula Carvalho Cavalcanti Furtado']
Fundamentos de Requisitos de Software,2010,['Ana Paula Carvalho Cavalcanti Furtado']
