COURSE,YEAR,INTEGRANTES
Requisitos Ágeis - GAP - Gestão Ágil de Projetos,2011,['Giselle Rossi Figueiredo César de Araújo']
Workshop em Mobile Interaction Design pra Mercados Emergentes,2010,['Giselle Rossi Figueiredo César de Araújo']
Agile UX - Metodologias ágeis para projetos de design,2011,['Giselle Rossi Figueiredo César de Araújo']
