NATUREZA,TITULO,ANO,PAIS,IDIOMA,NOME-DO-CANDIDATO,CODIGO_INSTITUICAO,NOME-DA-INSTITUICAO,NOME-DO-CURSO
Graduação,Uma Proposta de Taxonomia de Casos de Teste de Software de Caixa Preta,2019,Brasil,Português,Rodrigo Cunha Alves Moreira,033800000001,Universidade Federal Rural de Pernambuco,Ciência da Computação
Graduação,Guidelines Análise de Viabilidade da Automação de Teste,2019,Brasil,Português,Tamires Pereira da Silva,033800000001,Universidade Federal Rural de Pernambuco,
Graduação,Avaliação de efetividade da execução de casos de testes,2019,Brasil,Português,Pedro Pires Barreto,033800000001,Universidade Federal Rural de Pernambuco,Ciência da Computação
Graduação,Retrospectiva: apoiando o aprendizado em times ágeis,2018,Brasil,Português,Thomás André da Silva Leal,033800000001,Universidade Federal Rural de Pernambuco,Ciência da Computação
Graduação,Um método para estruturação e gestão de portifólios de processos de negócios,2017,Brasil,Português,Daniel Lima Nogueira,033800000001,Universidade Federal Rural de Pernambuco,Ciência da Computação
