COURSE,YEAR,INTEGRANTES
Design para quem não é designer,2012,"['Luiz Henrique Costa Bezerra Cavalcanti', 'Gabriela de Medeiros Boeira', 'André Phillipp de Almeida Muniz', 'Manuela Nejaim', 'Enrico Araújo Monteiro Cruz', 'Leonardo Macedo']"
GNED AmBev - Gestão de Negócios na Era Digital,2019,['Gabriela de Medeiros Boeira']
Design Estratégico,2019,['Gabriela de Medeiros Boeira']
"Educação Inovadora: Didáticas, Tecnologia, Design e Autoria.",2016,['Gabriela de Medeiros Boeira']
"Educação Inovadora: Didáticas, Tecnologia, Design e Autoria.",2016,['Gabriela de Medeiros Boeira']
Design para quem não é designer,2011,"['Gabriela de Medeiros Boeira', 'Enrico Araújo Monteiro Cruz', 'Manuela Nejaim', 'Leonardo Macedo', 'Melissa Barbosa Pontes']"
